model,year,odometer,price,location,driveTrain,DAS,accident_history,paintJob,wheels,emi,zipCode,interior,state
Model S,,81419.0,42400.0,"Lisle, IL",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"21"" Sonic Carbon Twin Turbine Wheels",$628 /mo,85305,All Black Premium Interior with Figured Ash Wood Décor,IL
Model S,,46841.0,43300.0,"FORT MYERS, FL",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Solid Black Paint,"19"" Sonic Carbon Slipstream Wheels",$644 /mo,85305,All Black Premium Interior with Figured Ash Wood Décor,FL
Model S,,38244.0,46100.0,"Rockville, MD",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,19’’ Silver Wheels,$694 /mo,85305,Cream Premium Interior with Oak Wood Décor,MD
Model S,,13821.0,47100.0,"Bartlett, TN",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"19"" Sonic Carbon Slipstream Wheels",$712 /mo,85305,All Black Premium Interior with Figured Ash Wood Décor,TN
Model S,,40551.0,48100.0,"Rogers, MN",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Red Multi-Coat Paint,19’’ Silver Wheels,$730 /mo,85305,Cream Premium Interior with Oak Wood Décor,MN
Model S,,22055.0,51500.0,,Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,19’’ Silver Wheels,$791 /mo,85305,All Black Premium Interior with Figured Ash Wood Décor,
Model S,,63298.0,40400.0,"FORT MYERS, FL",Model S Long Range All-Wheel Drive,Autopilot,Previously Repaired,Midnight Silver Metallic Paint,19’’ Silver Wheels,$592 /mo,85704,Cream Premium Interior with Oak Wood Décor,FL
Model S,,81419.0,42400.0,"Lisle, IL",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"21"" Sonic Carbon Twin Turbine Wheels",$628 /mo,85704,All Black Premium Interior with Figured Ash Wood Décor,IL
Model S,,46841.0,43300.0,"FORT MYERS, FL",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Solid Black Paint,"19"" Sonic Carbon Slipstream Wheels",$644 /mo,85704,All Black Premium Interior with Figured Ash Wood Décor,FL
Model S,,38244.0,46100.0,"Rockville, MD",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,19’’ Silver Wheels,$694 /mo,85704,Cream Premium Interior with Oak Wood Décor,MD
Model S,,13821.0,47100.0,"Bartlett, TN",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"19"" Sonic Carbon Slipstream Wheels",$712 /mo,85704,All Black Premium Interior with Figured Ash Wood Décor,TN
Model S,,40551.0,48100.0,"Rogers, MN",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Red Multi-Coat Paint,19’’ Silver Wheels,$730 /mo,85704,Cream Premium Interior with Oak Wood Décor,MN
Model S,,22055.0,51500.0,,Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,19’’ Silver Wheels,$791 /mo,85704,All Black Premium Interior with Figured Ash Wood Décor,
